Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
2002 ,75th,Chris Cooper,Adaptation.,Best Supporting Actor,https://en.wikipedia.org/wiki/Chris Cooper,https://upload.wikimedia.org/wikipedia/commons/5/53/Chris_Cooper_at_the_2009_Tribeca_Film_Festival.jpg,"Kansas City, Missouri, U.S.",1951,51
2003 ,76th,Tim Robbins,Mystic River,Best Supporting Actor,https://en.wikipedia.org/wiki/Tim Robbins,https://upload.wikimedia.org/wikipedia/commons/1/18/TimRobbinsTIFFSept2012.jpg,"West Covina, California, U.S.",1958,45
2004 ,77th,Morgan Freeman,Million Dollar Baby,Best Supporting Actor,https://en.wikipedia.org/wiki/Morgan Freeman,https://upload.wikimedia.org/wikipedia/commons/9/93/Academy_Award-winning_actor_Morgan_Freeman_narrates_for_the_opening_ceremony_%2826904746425%29_%28cropped%29_3.jpg,"Memphis, Tennessee, U.S.",1937,67
2005 ,78th,George Clooney,Syriana,Best Supporting Actor,https://en.wikipedia.org/wiki/George Clooney,https://upload.wikimedia.org/wikipedia/commons/8/8d/George_Clooney_2016.jpg,"Lexington, Kentucky, U.S.",1961,44
2006 ,79th,Alan Arkin,Little Miss Sunshine,Best Supporting Actor,https://en.wikipedia.org/wiki/Alan Arkin,https://upload.wikimedia.org/wikipedia/commons/7/75/AlanArkinTIFFSept2012_%28cropped%29.jpg,"Brooklyn, New York, U.S.",1934,72
2007 ,80th,Javier Bardem,No Country for Old Men,Best Supporting Actor,https://en.wikipedia.org/wiki/Javier Bardem,https://upload.wikimedia.org/wikipedia/commons/7/7e/Javier_Bardem_Cannes_2018.jpg,"Las Palmas de Gran Canaria, Canary Islands, Spain",1969,38
2008 ,81st,Heath Ledger †,The Dark Knight,Best Supporting Actor,https://en.wikipedia.org/wiki/Heath Ledger †,Unknown,Unknown,Unknown,Unknown
2009 ,82nd,Christoph Waltz,Inglourious Basterds,Best Supporting Actor,https://en.wikipedia.org/wiki/Christoph Waltz,https://upload.wikimedia.org/wikipedia/commons/d/d8/Christoph_Waltz_Viennale_2017_f_%28cropped%29.jpg,"Vienna, Austria",1956,53
2010 ,83rd,Christian Bale,The Fighter,Best Supporting Actor,https://en.wikipedia.org/wiki/Christian Bale,https://upload.wikimedia.org/wikipedia/commons/c/cc/Christian_Bale-7834.jpg,"Haverfordwest, Pembrokeshire, Wales",1974,36
2011 ,84th,Christopher Plummer,Beginners,Best Supporting Actor,https://en.wikipedia.org/wiki/Christopher Plummer,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Christopher_Plummer_2014.jpg/220px-Christopher_Plummer_2014.jpg,"Toronto, Ontario, Canada",1929,82
2012 ,85th,Christoph Waltz,Django Unchained,Best Supporting Actor,https://en.wikipedia.org/wiki/Christoph Waltz,https://upload.wikimedia.org/wikipedia/commons/d/d8/Christoph_Waltz_Viennale_2017_f_%28cropped%29.jpg,"Vienna, Austria",1956,56
2013 ,86th,Jared Leto,Dallas Buyers Club,Best Supporting Actor,https://en.wikipedia.org/wiki/Jared Leto,https://upload.wikimedia.org/wikipedia/commons/0/00/Jared_Leto%2C_San_Diego_Comic_Con_2016_%282%29.jpg,"Bossier City, Louisiana, U.S.",1971,42
2014 ,87th,J. K. Simmons,Whiplash,Best Supporting Actor,https://en.wikipedia.org/wiki/J. K. Simmons,https://upload.wikimedia.org/wikipedia/commons/0/0d/JK_Simmons_2009.jpg,"Grosse Pointe, Michigan, U.S.",1955,59
2015 ,88th,Mark Rylance,Bridge of Spies,Best Supporting Actor,https://en.wikipedia.org/wiki/Mark Rylance,//upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Mark_Rylance_Cannes_2016.jpg/220px-Mark_Rylance_Cannes_2016.jpg,"Ashford, Kent, England",1960,55
2016 ,89th,Mahershala Ali,Moonlight,Best Supporting Actor,https://en.wikipedia.org/wiki/Mahershala Ali,https://upload.wikimedia.org/wikipedia/commons/3/37/Mahershala_Ali_%2829953410761%29.jpg,"Hayward, California, U.S.",1974,42
2017 ,90th,Sam Rockwell,"Three Billboards Outside Ebbing, Missouri",Best Supporting Actor,https://en.wikipedia.org/wiki/Sam Rockwell,https://upload.wikimedia.org/wikipedia/commons/d/d3/Sam_Rockwell_%2851492%29_%28cropped%29.jpg,"Daly City, California, U.S.",1968,49
2018 ,91st,Mahershala Ali,Green Book,Best Supporting Actor,https://en.wikipedia.org/wiki/Mahershala Ali,https://upload.wikimedia.org/wikipedia/commons/3/37/Mahershala_Ali_%2829953410761%29.jpg,"Hayward, California, U.S.",1974,44
2019 ,92nd,Brad Pitt,Once Upon a Time in Hollywood,Best Supporting Actor,https://en.wikipedia.org/wiki/Brad Pitt,https://upload.wikimedia.org/wikipedia/commons/4/4c/Brad_Pitt_2019_by_Glenn_Francis.jpg,"Shawnee, Oklahoma, U.S.",1963,56
