Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
2003 ,76th,Renée Zellweger,Cold Mountain,Best Supporting Actress,https://en.wikipedia.org/wiki/Renée Zellweger,https://upload.wikimedia.org/wikipedia/commons/4/4b/Ren%C3%A9e_Zellweger_Berlinale_2010_%28cropped%29.jpg,"Katy, Texas, U.S.",1969,34
2004 ,77th,Cate Blanchett,The Aviator,Best Supporting Actress,https://en.wikipedia.org/wiki/Cate Blanchett,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Cate_Blanchett_Cannes_2018_2_%28cropped%29.jpg/220px-Cate_Blanchett_Cannes_2018_2_%28cropped%29.jpg,"Ivanhoe, Victoria, Australia",1969,35
2005 ,78th,Rachel Weisz,The Constant Gardener,Best Supporting Actress,https://en.wikipedia.org/wiki/Rachel Weisz,https://upload.wikimedia.org/wikipedia/commons/7/7f/Rachel_Weisz_2018.jpg,"Westminster, London, England",1970,35
2006 ,79th,Jennifer Hudson,Dreamgirls,Best Supporting Actress,https://en.wikipedia.org/wiki/Jennifer Hudson,https://upload.wikimedia.org/wikipedia/commons/6/6b/Jennifer-hudson-gesf-2018-8400.jpg,"Chicago, Illinois, U.S.",1981,25
2007 ,80th,Tilda Swinton,Michael Clayton,Best Supporting Actress,https://en.wikipedia.org/wiki/Tilda Swinton,https://upload.wikimedia.org/wikipedia/commons/a/a1/Tilda_Swinton_Paris_Fashion_Week_Spring_Summer_2019.jpg,"London, England",1960,47
2008 ,81st,Penélope Cruz,Vicky Cristina Barcelona,Best Supporting Actress,https://en.wikipedia.org/wiki/Penélope Cruz,https://upload.wikimedia.org/wikipedia/commons/a/a7/Premios_Goya_2018_-_Pen%C3%A9lope_Cruz.jpg,"Alcobendas, Community of Madrid, Spain",1974,34
2009 ,82nd,Mo'Nique,Precious,Best Supporting Actress,https://en.wikipedia.org/wiki/Mo'Nique,https://upload.wikimedia.org/wikipedia/commons/0/08/Mo%27Nique_SAAwards_%28cropped%29.jpg,"Baltimore, Maryland, U.S.",1967,42
2010 ,83rd,Melissa Leo,The Fighter,Best Supporting Actress,https://en.wikipedia.org/wiki/Melissa Leo,https://upload.wikimedia.org/wikipedia/commons/5/5e/Melissa_Leo_at_the_2009_Tribeca_Film_Festival.jpg,"Manhattan, New York, U.S.",1960,50
2011 ,84th,Octavia Spencer,The Help,Best Supporting Actress,https://en.wikipedia.org/wiki/Octavia Spencer,https://upload.wikimedia.org/wikipedia/commons/1/1e/%22Hidden_Figures%22_Screening_at_the_White_House_%28NHQ201612150008%29_%28cropped%29.jpg,"Montgomery, Alabama, U.S.",1972,39
2012 ,85th,Anne Hathaway,Les Misérables,Best Supporting Actress,https://en.wikipedia.org/wiki/Anne Hathaway,https://upload.wikimedia.org/wikipedia/commons/b/bd/Anne_Hathaway_in_2017.png,"Brooklyn, New York, U.S.",1982,30
2013 ,86th,Lupita Nyong'o,12 Years a Slave,Best Supporting Actress,https://en.wikipedia.org/wiki/Lupita Nyong'o,https://upload.wikimedia.org/wikipedia/commons/3/34/SXSW_2019_4_%2847282558132%29_%28cropped%29.jpg,"Mexico City, Mexico",1983,30
2014 ,87th,Patricia Arquette,Boyhood,Best Supporting Actress,https://en.wikipedia.org/wiki/Patricia Arquette,https://upload.wikimedia.org/wikipedia/commons/4/44/Patricia_Arquette_2015.jpg,"Chicago, Illinois, U.S.",1968,46
2015 ,88th,Alicia Vikander,The Danish Girl,Best Supporting Actress,https://en.wikipedia.org/wiki/Alicia Vikander,https://upload.wikimedia.org/wikipedia/commons/4/4f/Alicia_Vikander_-_Tokyo_International_Film_Festival_2019_%2849013506278%29_%28cropped%29.jpg,"Gothenburg, Sweden",1988,27
2016 ,89th,Viola Davis,Fences,Best Supporting Actress,https://en.wikipedia.org/wiki/Viola Davis,https://upload.wikimedia.org/wikipedia/commons/8/86/Viola_Davis_in_2016.jpg,"St. Matthews, South Carolina, U.S.",1965,51
2017 ,90th,Allison Janney,"I, Tonya",Best Supporting Actress,https://en.wikipedia.org/wiki/Allison Janney,https://upload.wikimedia.org/wikipedia/commons/e/ed/Allison_Janney4crop.jpg,"Boston, Massachusetts, U.S.",1959,58
2018 ,91st,Regina King,If Beale Street Could Talk,Best Supporting Actress,https://en.wikipedia.org/wiki/Regina King,https://upload.wikimedia.org/wikipedia/commons/4/4c/Regina_King_by_Gage_Skidmore.jpg,"Cincinnati, Ohio",1971,47
2019 ,92nd,Laura Dern,Marriage Story,Best Supporting Actress,https://en.wikipedia.org/wiki/Laura Dern,https://upload.wikimedia.org/wikipedia/commons/b/bc/Laura_Dern_Deauville_2017.jpg,"Los Angeles, California, U.S.",1967,52
