Year,Oscar Year,Winner Name,Film,Category,Wiki URL,Image URL,Birthplace,Birth Year,Age Awarded
2001,74th,Halle Berry,Monster's Ball,Best Actress,https://en.wikipedia.org/wiki/Halle Berry,https://upload.wikimedia.org/wikipedia/commons/5/56/Halle_Berry_by_Gage_Skidmore_2.jpg,"Cleveland, Ohio, U.S.",1966,35
2002,75th,Nicole Kidman,The Hours,Best Actress,https://en.wikipedia.org/wiki/Nicole Kidman,//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Nicole_Kidman_Cannes_2017_2.jpg/220px-Nicole_Kidman_Cannes_2017_2.jpg,"Honolulu, Hawaii, U.S.",1967,35
2003,76th,Charlize Theron,Monster,Best Actress,https://en.wikipedia.org/wiki/Charlize Theron,https://upload.wikimedia.org/wikipedia/commons/5/5d/Charlize-theron-IMG_6045.jpg,"Benoni, Transvaal Province, South Africa",1975,28
2004,77th,Hilary Swank,Million Dollar Baby,Best Actress,https://en.wikipedia.org/wiki/Hilary Swank,https://upload.wikimedia.org/wikipedia/commons/6/6e/Hilary_Swank_at_28th_Tokyo_International_Film_Festival.jpg,"Lincoln, Nebraska, U.S.",1974,30
2005,78th,Reese Witherspoon,Walk the Line,Best Actress,https://en.wikipedia.org/wiki/Reese Witherspoon,https://upload.wikimedia.org/wikipedia/commons/8/85/Reese_Witherspoon_at_TIFF_2014.jpg,"New Orleans, Louisiana, U.S.",1976,29
2006,79th,Helen Mirren,The Queen,Best Actress,https://en.wikipedia.org/wiki/Helen Mirren,//upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Helen_Mirren_2014.jpg/220px-Helen_Mirren_2014.jpg,"Hammersmith, London, England",1945,61
2007,80th,Marion Cotillard,La Vie en Rose,Best Actress,https://en.wikipedia.org/wiki/Marion Cotillard,https://upload.wikimedia.org/wikipedia/commons/a/a9/Marion_Cotillard_Cabourg_2017.jpg,"Paris, France",1975,32
2008,81st,Kate Winslet,The Reader,Best Actress,https://en.wikipedia.org/wiki/Kate Winslet,//upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Kate_Winslet_at_the_2017_Toronto_International_Film_Festival_%28cropped%29.jpg/220px-Kate_Winslet_at_the_2017_Toronto_International_Film_Festival_%28cropped%29.jpg,"Reading, Berkshire, England",1975,33
2009,82nd,Sandra Bullock,The Blind Side,Best Actress,https://en.wikipedia.org/wiki/Sandra Bullock,https://upload.wikimedia.org/wikipedia/commons/3/3b/Sandra_Bullock_%289192365016%29_%28cropped%29.jpg,"Arlington, Virginia, U.S.",1964,45
2010,83rd,Natalie Portman,Black Swan,Best Actress,https://en.wikipedia.org/wiki/Natalie Portman,https://upload.wikimedia.org/wikipedia/commons/d/d3/Natalie_Portman_%2848470988352%29_%28cropped%29.jpg,Jerusalem,1981,29
2011,84th,Meryl Streep,The Iron Lady,Best Actress,https://en.wikipedia.org/wiki/Meryl Streep,https://upload.wikimedia.org/wikipedia/commons/4/46/Meryl_Streep_December_2018.jpg,"Summit, New Jersey, U.S.",1949,62
2012,85th,Jennifer Lawrence,Silver Linings Playbook,Best Actress,https://en.wikipedia.org/wiki/Jennifer Lawrence,https://upload.wikimedia.org/wikipedia/commons/0/0b/Jennifer_Lawrence_SDCC_2015_X-Men.jpg,"Indian Hills, Kentucky, U.S.",1990,22
2013,86th,Cate Blanchett,Blue Jasmine,Best Actress,https://en.wikipedia.org/wiki/Cate Blanchett,//upload.wikimedia.org/wikipedia/commons/thumb/3/37/Cate_Blanchett_Cannes_2018_2_%28cropped%29.jpg/220px-Cate_Blanchett_Cannes_2018_2_%28cropped%29.jpg,"Ivanhoe, Victoria, Australia",1969,44
2014,87th,Julianne Moore,Still Alice,Best Actress,https://en.wikipedia.org/wiki/Julianne Moore,https://upload.wikimedia.org/wikipedia/commons/0/03/Julianne_Moore_Cannes_2018_%28tweaked%29.jpg,"Fort Bragg, North Carolina, U.S.",1960,54
2015,88th,Brie Larson,Room,Best Actress,https://en.wikipedia.org/wiki/Brie Larson,https://upload.wikimedia.org/wikipedia/commons/4/40/Captain_Marvel_trailer_at_the_National_Air_and_Space_Museum_4_%28cropped%29.jpg,"Sacramento, California, U.S.",1989,26
2016,89th,Emma Stone,La La Land,Best Actress,https://en.wikipedia.org/wiki/Emma Stone,https://upload.wikimedia.org/wikipedia/commons/9/9a/Emma_Stone_at_the_39th_Mill_Valley_Film_Festival_%28cropped%29.jpg,"Scottsdale, Arizona, U.S.",1988,28
2017,90th,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",Best Actress,https://en.wikipedia.org/wiki/Frances McDormand,https://upload.wikimedia.org/wikipedia/commons/e/ed/Frances_McDormand_2015_%28cropped%29.jpg,"Gibson City, Illinois, U.S.",1957,60
2018,91st,Olivia Colman, The Favourite,Best Actress,https://en.wikipedia.org/wiki/Olivia Colman,//upload.wikimedia.org/wikipedia/commons/thumb/8/84/Olivia_Colman_at_Moet_BIFA_2014_%28cropped%29.jpg/220px-Olivia_Colman_at_Moet_BIFA_2014_%28cropped%29.jpg,"Norwich, Norfolk, England",1974,44
2019,92nd,Renée Zellweger,Judy,Best Actress,https://en.wikipedia.org/wiki/Renée Zellweger,https://upload.wikimedia.org/wikipedia/commons/4/4b/Ren%C3%A9e_Zellweger_Berlinale_2010_%28cropped%29.jpg,"Katy, Texas, U.S.",1969,50
