Years,Winner Name,Film,Category,Wiki URL,Birthplace,Birth Year
2009(82nd),Kathryn Bigelow,The Hurt Locker,Best Director,https://en.wikipedia.org/wiki/Kathryn Bigelow,"San Carlos, California, U.S.",1951
2010(83rd),Tom Hooper,The King's Speech,Best Director,https://en.wikipedia.org/wiki/Tom Hooper,"London, England",1972
2011(84th),Michel Hazanavicius,The Artist,Best Director,https://en.wikipedia.org/wiki/Michel Hazanavicius,"Paris, France",1967
2012(85th),Ang Lee,Life of Pi,Best Director,https://en.wikipedia.org/wiki/Ang Lee,"Chaozhou, Pingtung, Taiwan",1954
2013(86th),Alfonso Cuarón,Gravity,Best Director,https://en.wikipedia.org/wiki/Alfonso Cuarón,"Mexico City, Mexico",1961
2014(87th),Alejandro G. Iñárritu,Birdman,Best Director,https://en.wikipedia.org/wiki/Alejandro G. Iñárritu,"Mexico City, Mexico",1963
2015 (88th),Alejandro G. Iñárritu,The Revenant,Best Director,https://en.wikipedia.org/wiki/Alejandro G. Iñárritu,"Mexico City, Mexico",1963
2016 (89th),Damien Chazelle,La La Land,Best Director,https://en.wikipedia.org/wiki/Damien Chazelle,"Providence, Rhode Island, U.S.",1985
2017 (90th),Guillermo del Toro,The Shape of Water,Best Director,https://en.wikipedia.org/wiki/Guillermo del Toro,"Guadalajara, Jalisco, Mexico",1964
2018 (91st),Alfonso Cuarón,Roma,Best Director,https://en.wikipedia.org/wiki/Alfonso Cuarón,"Mexico City, Mexico",1961
2019 (92nd),Bong Joon-ho,Parasite,Best Director,https://en.wikipedia.org/wiki/Bong Joon-ho,"Daegu, South Korea",1969
